t,repeatability,bigint_repeatability,contributionS,thisS
1,3375000000,3375000000 (e0),27000000000 (e0),27000000000 (e0)
2,3368254499,3368254499 (e0),90942871473 (e0),117942871473 (e0)
3,3361517992,3361517992 (e0),215137151488 (e0),333080022961 (e0)
4,3354790473,3354790473 (e0),419348809125 (e0),752428832086 (e0)
5,3348071936,3348071936 (e0),723183538176 (e0),1475612370262 (e0)
6,3341362375,3341362375 (e0),1146087294625 (e0),2621699664887 (e0)
7,3334661784,3334661784 (e0),1707346833408 (e0),4329046498295 (e0)
8,3327970157,3327970157 (e0),2426090244453 (e0),6755136742748 (e0)
9,3321287488,3321287488 (e0),3321287488000 (e0),10076424230748 (e0)
10,3314613771,3314613771 (e0),4411750929201 (e0),14488175159949 (e0)
11,3307949000,3307949000 (e0),5716135872000 (e0),20204311031949 (e0)
12,3301293169,3301293169 (e0),7252941092293 (e0),27457252124242 (e0)
13,3294646272,3294646272 (e0),9040509370368 (e0),36497761494610 (e0)
14,3288008303,3288008303 (e0),11097028022625 (e0),47594789517235 (e0)
15,3281379256,3281379256 (e0),13440529432576 (e0),61035318949811 (e0)
16,3274759125,3274759125 (e0),16088891581125 (e0),77124210530936 (e0)
17,3268147904,3268147904 (e0),19059838576128 (e0),96184049107064 (e0)
18,3261545587,3261545587 (e0),22370941181233 (e0),118554990288297 (e0)
19,3254952168,3254952168 (e0),26039617344000 (e0),144594607632297 (e0)
20,3248367641,3248367641 (e0),30083132723301 (e0),174677740355598 (e0)
21,3241792000,3241792000 (e0),34518601216000 (e0),209196341571598 (e0)
22,3235225239,3235225239 (e0),39362985482913 (e0),248559327054511 (e0)
23,3228667352,3228667352 (e0),44633097474048 (e0),293192424528559 (e0)
24,3222118333,3222118333 (e0),50345598953125 (e0),343538023481684 (e0)
25,3215578176,3215578176 (e0),56517002021376 (e0),400055025503060 (e0)
26,3209046875,3209046875 (e0),63163669640625 (e0),463218695143685 (e0)
27,3202524424,3202524424 (e0),70301816155648 (e0),533520511299333 (e0)
28,3196010817,3196010817 (e0),77947507815813 (e0),611468019115146 (e0)
29,3189506048,3189506048 (e0),86116663296000 (e0),697584682411146 (e0)
30,3183010111,3183010111 (e0),94825054216801 (e0),792409736627947 (e0)
31,3176523000,3176523000 (e0),104088305664000 (e0),896498042291947 (e0)
32,3170044709,3170044709 (e0),113921896707333 (e0),1010419938999280 (e0)
33,3163575232,3163575232 (e0),124341160918528 (e0),1134761099917808 (e0)
34,3157114563,3157114563 (e0),135361286888625 (e0),1270122386806433 (e0)
35,3150662696,3150662696 (e0),146997318744576 (e0),1417119705551009 (e0)
36,3144219625,3144219625 (e0),159264156665125 (e0),1576383862216134 (e0)
37,3137785344,3137785344 (e0),172176557395968 (e0),1748560419612102 (e0)
38,3131359847,3131359847 (e0),185749134764193 (e0),1934309554376295 (e0)
39,3124943128,3124943128 (e0),199996360192000 (e0),2134305914568295 (e0)
40,3118535181,3118535181 (e0),214932563209701 (e0),2349238477777996 (e0)
41,3112136000,3112136000 (e0),230571931968000 (e0),2579810409745996 (e0)
42,3105745579,3105745579 (e0),246928513749553 (e0),2826738923495549 (e0)
43,3099363912,3099363912 (e0),264016215479808 (e0),3090755138975357 (e0)
44,3092990993,3092990993 (e0),281848804237125 (e0),3372603943212482 (e0)
45,3086626816,3086626816 (e0),300439907762176 (e0),3673043850974658 (e0)
46,3080271375,3080271375 (e0),319803014966625 (e0),3992846865941283 (e0)
47,3073924664,3073924664 (e0),339951476441088 (e0),4332798342382371 (e0)
48,3067586677,3067586677 (e0),360898504962373 (e0),4693696847344744 (e0)
49,3061257408,3061257408 (e0),382657176000000 (e0),5076354023344744 (e0)
50,3054936851,3054936851 (e0),405240428222001 (e0),5481594451566745 (e0)
51,3048625000,3048625000 (e0),428661064000000 (e0),5910255515566745 (e0)
52,3042321849,3042321849 (e0),452931749913573 (e0),6363187265480318 (e0)
53,3036027392,3036027392 (e0),478065017253888 (e0),6841252282734206 (e0)
54,3029741623,3029741623 (e0),504073262526625 (e0),7345325545260831 (e0)
55,3023464536,3023464536 (e0),530968747954176 (e0),7876294293215007 (e0)
56,3017196125,3017196125 (e0),558763601977125 (e0),8435057895192132 (e0)
57,3010936384,3010936384 (e0),587469819755008 (e0),9022527714947140 (e0)
58,3004685307,3004685307 (e0),617099263666353 (e0),9639626978613493 (e0)
59,2998442888,2998442888 (e0),647663663808000 (e0),10287290642421493 (e0)
60,2992209121,2992209121 (e0),679174618493701 (e0),10966465260915194 (e0)
61,2985984000,2985984000 (e0),711643594752000 (e0),11678108855667194 (e0)
62,2979767519,2979767519 (e0),745081928823393 (e0),12423190784490587 (e0)
63,2973559672,2973559672 (e0),779500826656768 (e0),13202691611147355 (e0)
64,2967360453,2967360453 (e0),814911364405125 (e0),14017602975552480 (e0)
